modelo_base,etapa,MAE,RMSE,MAPE,R2
ETS,Sin optimizar,25931.06684507013,35521.75982644265,26.461822428985244,0.4400896823236624
ETS,Optimizado,25931.06684507013,35521.75982644265,26.461822428985244,0.4400896823236624
Prophet,Sin optimizar,53482.31688688223,59358.609246706845,35.43931778109397,-0.563496658467151
Prophet,Optimizado,53013.272070355255,58895.424883982436,35.14396943874974,-0.539191448475498
XGBoost,Sin optimizar,18055.154296875,25130.646151661123,17.206047475337982,0.7197556495666504
XGBoost,Optimizado,34683.140625,44262.3075765374,24.721889197826385,0.1306440234184265
LSTM,Sin optimizar,27202.34390639407,33237.95404119692,24.28028743332217,0.5097720265981525
LSTM,Optimizado,22739.743078844887,30817.65772402358,20.91423364866417,0.57856676865663
SARIMAX,Sin optimizar,25030.70467704197,33528.660054817294,24.14117984998785,0.5011592557641867
SARIMAX,Optimizado,39327.882445483934,45959.46652988351,26.99149952795433,0.062698134478541
