fecha_mes,real,prediccion,residuo
2024-01-01,139844,117130.83,22713.171875
2024-02-01,136083,120954.94,15128.0625
2024-03-01,123356,97673.86,25682.140625
2024-04-01,101903,111749.86,-9846.859375
2024-05-01,144488,97595.89,46892.109375
2024-06-01,155179,131461.77,23717.234375
2024-07-01,268872,223219.42,45652.578125
2024-08-01,219391,218891.92,499.078125
2024-09-01,183808,202607.1,-18799.09375
2024-10-01,178775,173815.58,4959.421875
2024-11-01,138724,170952.8,-32228.796875
2024-12-01,86002,117343.91,-31341.90625
2025-01-01,134769,140006.56,-5237.5625
2025-02-01,123903,121468.35,2434.6484375
2025-03-01,96665,94466.445,2198.5546875
2025-04-01,124652,86445.125,38206.875
2025-05-01,149119,132986.77,16132.234375
2025-06-01,150079,139191.58,10887.421875
2025-07-01,229091,220468.39,8622.609375
2025-08-01,223386,216364.31,7021.6875
2025-09-01,180790,193462.62,-12672.625
2025-10-01,180100,181547.6,-1447.59375
2025-11-01,144470,167167.94,-22697.9375
2025-12-01,101846,120007.53,-18161.53125
2026-01-01,144576,143610.1,965.90625
2026-02-01,139542,137656.8,1885.203125
2026-03-01,95100,92517.22,2582.78125
2026-04-01,43596,120524.69,-76928.6875
